Departement,Milieu,n_individus,revenu_median,revenu_moyen,revenu_std,taux_exclusion_financiere,taux_bancarise,taux_cin,taux_tontine,taux_mobile_money,taux_epargne_formelle,taux_credit_informel,taux_manque_argent,taux_telephone,taux_nif,taux_compte_bancaire,taux_planif_jamais
Aire Métropolitaine,Rural,303,1633.0,2393.8911,1941.2462,0.4323,0.1749,0.5809,0.4125,0.1023,0.1221,0.066,0.7063,0.3762,0.2376,0.1749,0.3795
Aire Métropolitaine,Urbain,1158,3963.5,4649.1675,4255.6125,0.2876,0.2478,0.7219,0.4024,0.2176,0.1943,0.0699,0.5959,0.7383,0.3247,0.2478,0.2893
Artibonite,Rural,101,1540.0,2516.1089,2712.1197,0.6535,0.0693,0.5743,0.4059,0.0396,0.0693,0.0594,0.6832,0.297,0.2475,0.0693,0.3564
Artibonite,Urbain,402,2667.5,3407.2214,2980.4367,0.5448,0.097,0.6716,0.3682,0.1045,0.1219,0.0672,0.6343,0.6741,0.2587,0.097,0.3308
Centre,Rural,172,1747.0,2484.2151,1972.1947,0.5756,0.0581,0.564,0.4186,0.0407,0.0581,0.0291,0.6628,0.407,0.2849,0.0581,0.4593
Centre,Urbain,109,2732.0,3341.4037,2884.9797,0.5596,0.1376,0.7339,0.4128,0.0734,0.1101,0.0459,0.6789,0.6881,0.2844,0.1376,0.3578
Grand-Anse,Rural,130,1650.5,2266.8231,1890.6786,0.5692,0.1,0.5615,0.3462,0.0385,0.0923,0.0923,0.6923,0.2846,0.2769,0.1,0.3846
Grand-Anse,Urbain,71,2102.0,3483.4225,3816.7736,0.6197,0.1127,0.6197,0.4085,0.1127,0.1268,0.0563,0.662,0.7183,0.2254,0.1127,0.2535
Nippes,Rural,109,1769.0,2324.2752,1922.8242,0.633,0.055,0.5229,0.4128,0.0459,0.0734,0.0826,0.6881,0.4037,0.211,0.055,0.3486
Nippes,Urbain,70,2812.5,3254.2571,2678.801,0.6,0.1571,0.7,0.4286,0.1286,0.1714,0.0429,0.6429,0.8,0.2857,0.1571,0.3
Nord,Rural,84,1540.0,2206.9881,1765.5293,0.6071,0.0476,0.4762,0.4524,0.0357,0.0476,0.119,0.6905,0.3333,0.3214,0.0476,0.4643
Nord,Urbain,309,3380.0,4201.1683,3598.4376,0.521,0.1197,0.6764,0.4369,0.0906,0.1003,0.0712,0.5955,0.6861,0.288,0.1197,0.3301
Nord-Est,Rural,34,1794.0,2024.9706,1204.8513,0.7059,0.0294,0.4118,0.4706,0.0294,0.1176,0.0882,0.5294,0.3235,0.1765,0.0294,0.2941
Nord-Est,Urbain,147,2806.0,3900.7347,3209.2928,0.551,0.1156,0.6599,0.4014,0.0884,0.0748,0.0952,0.5986,0.6871,0.2653,0.1156,0.2993
Nord-Ouest,Rural,88,1540.0,1896.7386,1208.5482,0.6705,0.0,0.4659,0.3636,0.0341,0.0114,0.0909,0.7386,0.3409,0.2841,0.0,0.4659
Nord-Ouest,Urbain,48,1761.5,3081.8958,3500.007,0.5208,0.1042,0.7292,0.4167,0.0625,0.1458,0.1042,0.7708,0.625,0.2083,0.1042,0.25
Ouest (reste),Rural,76,1540.0,1863.1184,2167.1307,0.5921,0.1316,0.5395,0.4737,0.0789,0.1184,0.0658,0.6579,0.4079,0.2763,0.1316,0.3684
Ouest (reste),Urbain,238,3380.0,3997.9076,3470.0468,0.6176,0.1092,0.6513,0.395,0.1176,0.1218,0.0924,0.6008,0.7185,0.3067,0.1092,0.2815
Sud,Rural,79,1579.0,2248.5063,1581.0549,0.6582,0.0633,0.557,0.3797,0.0506,0.0633,0.0506,0.6582,0.3797,0.2025,0.0633,0.4177
Sud,Urbain,288,3310.0,4015.3507,3658.6019,0.5312,0.1319,0.7118,0.4271,0.0764,0.1111,0.0521,0.6042,0.7014,0.3056,0.1319,0.3507
