Secteur_Activite,Genre,n_individus,revenu_median,revenu_moyen,revenu_std,taux_exclusion_financiere,taux_bancarise,taux_cin,taux_tontine,taux_mobile_money,taux_epargne_formelle,taux_credit_informel,taux_manque_argent,taux_telephone,taux_nif,taux_compte_bancaire,taux_planif_jamais
Agriculture/Élevage,Femme,569,1604.0,1924.8366,1055.7996,0.6046,0.0808,0.6046,0.4569,0.0879,0.0791,0.0721,0.6696,0.5079,0.2408,0.0808,0.3673
Agriculture/Élevage,Homme,547,1573.0,1823.34,1025.5576,0.5923,0.1005,0.5832,0.3437,0.0987,0.0896,0.0658,0.7002,0.5356,0.2578,0.1005,0.3528
Artisanat/Production,Femme,208,3380.0,3319.3462,1850.654,0.4856,0.1298,0.6923,0.3606,0.0865,0.125,0.0673,0.6683,0.5817,0.2452,0.1298,0.3125
Artisanat/Production,Homme,231,3380.0,3456.2294,1826.3642,0.5628,0.1082,0.645,0.29,0.1299,0.0909,0.0693,0.6364,0.671,0.3247,0.1082,0.3636
Commerce informel,Femme,537,4151.0,4097.9907,2122.8691,0.4004,0.1695,0.6704,0.5196,0.1266,0.1341,0.067,0.5736,0.622,0.2514,0.1695,0.3296
Commerce informel,Homme,489,4151.0,3951.6115,2137.5872,0.4151,0.1513,0.6667,0.4581,0.1186,0.1391,0.0838,0.6564,0.5971,0.2638,0.1513,0.3149
Emploi salarié formel,Femme,140,11207.0,11074.4929,5297.9233,0.1214,0.4,0.7286,0.4214,0.1643,0.2857,0.0643,0.45,0.7286,0.6286,0.4,0.3286
Emploi salarié formel,Homme,167,11207.0,11315.1976,4958.7315,0.1078,0.4371,0.7066,0.2455,0.1976,0.3413,0.0898,0.4251,0.7425,0.6168,0.4371,0.3054
Sans activité/Ménage,Femme,316,630.5,739.8481,711.5423,0.538,0.1044,0.6614,0.443,0.1171,0.1076,0.0759,0.769,0.6424,0.2532,0.1044,0.3006
Sans activité/Ménage,Homme,283,637.0,752.6325,759.2501,0.5336,0.1095,0.6678,0.3428,0.1272,0.0989,0.0601,0.7279,0.636,0.2544,0.1095,0.3463
Services/Transport,Femme,277,5215.0,5470.6679,3119.408,0.5235,0.1336,0.6426,0.4332,0.1516,0.1372,0.065,0.5487,0.6787,0.2635,0.1336,0.3394
Services/Transport,Homme,252,5215.0,5153.8413,2512.9065,0.4683,0.1746,0.7262,0.3135,0.131,0.1429,0.0516,0.5079,0.6667,0.246,0.1746,0.2976
