Secteur_Activite,Milieu,n_individus,revenu_median,revenu_moyen,revenu_std,taux_exclusion_financiere,taux_bancarise,taux_cin,taux_tontine,taux_mobile_money,taux_epargne_formelle,taux_credit_informel,taux_manque_argent,taux_telephone,taux_nif,taux_compte_bancaire,taux_planif_jamais
Agriculture/Élevage,Rural,631,1540.0,1689.5436,960.7803,0.588,0.0935,0.5357,0.4025,0.065,0.0761,0.0618,0.7132,0.3756,0.2599,0.0935,0.4041
Agriculture/Élevage,Urbain,485,1998.0,2116.4887,1093.5167,0.6124,0.0866,0.6701,0.4,0.1299,0.0948,0.0784,0.6474,0.7113,0.2351,0.0866,0.3031
Artisanat/Production,Rural,101,2756.0,2853.9208,1480.1887,0.5644,0.0594,0.5446,0.2376,0.0396,0.0693,0.0891,0.6337,0.3663,0.2871,0.0594,0.4455
Artisanat/Production,Urbain,338,3380.0,3551.9734,1903.6203,0.5148,0.1361,0.7041,0.3491,0.1302,0.1183,0.0621,0.6568,0.7071,0.287,0.1361,0.3077
Commerce informel,Rural,217,3355.0,3437.2581,1687.9971,0.5069,0.0968,0.5438,0.5115,0.0507,0.1106,0.0829,0.6313,0.341,0.2304,0.0968,0.3825
Commerce informel,Urbain,809,4151.0,4186.7417,2208.0091,0.3807,0.178,0.7021,0.4845,0.1422,0.1434,0.0729,0.6082,0.6823,0.2645,0.178,0.3066
Emploi salarié formel,Rural,18,8992.0,9357.8889,4918.9275,0.0556,0.5,0.6667,0.3889,0.1111,0.2778,0.0,0.4444,0.5556,0.6111,0.5,0.2778
Emploi salarié formel,Urbain,289,11207.0,11320.5017,5106.859,0.1176,0.4152,0.7197,0.3218,0.1869,0.3183,0.083,0.436,0.7474,0.6228,0.4152,0.3183
Sans activité/Ménage,Rural,126,455.0,628.2302,658.8576,0.6429,0.0556,0.5317,0.4206,0.0397,0.0476,0.1032,0.7698,0.3651,0.1984,0.0556,0.373
Sans activité/Ménage,Urbain,473,665.0,777.2304,750.1382,0.5074,0.1205,0.6998,0.389,0.1438,0.1184,0.0592,0.7442,0.7125,0.2685,0.1205,0.3087
Services/Transport,Rural,83,3980.0,4184.8193,2352.2043,0.6024,0.0843,0.6145,0.3735,0.0723,0.0843,0.0361,0.5904,0.253,0.253,0.0843,0.4096
Services/Transport,Urbain,446,5215.0,5530.9484,2884.835,0.4776,0.1659,0.6951,0.3767,0.1547,0.1502,0.0628,0.5179,0.7511,0.2556,0.1659,0.3027
