Departement,n_individus,revenu_median,revenu_moyen,revenu_std,taux_exclusion_financiere,taux_bancarise,taux_cin,taux_tontine,taux_mobile_money,taux_epargne_formelle,taux_credit_informel,taux_manque_argent,taux_telephone,taux_nif,taux_compte_bancaire,taux_planif_jamais
Aire Métropolitaine,1461,3373.0,4181.4408,3995.9854,0.3176,0.2327,0.6927,0.4045,0.1937,0.1793,0.0691,0.6188,0.6632,0.3066,0.2327,0.308
Nord,393,3019.0,3774.9313,3391.7602,0.5394,0.1043,0.6336,0.4402,0.0789,0.0891,0.0814,0.6158,0.6107,0.2952,0.1043,0.3588
Sud,367,2756.0,3635.0218,3399.6587,0.5586,0.1172,0.6785,0.4169,0.0708,0.1008,0.0518,0.6158,0.6322,0.2834,0.1172,0.3651
Nord-Est,181,2694.0,3548.3812,3026.5472,0.5801,0.0994,0.6133,0.4144,0.0773,0.0829,0.0939,0.5856,0.6188,0.2486,0.0994,0.2983
Ouest (reste),314,2508.5,3481.207,3328.8984,0.6115,0.1146,0.6242,0.414,0.1083,0.121,0.086,0.6146,0.6433,0.2994,0.1146,0.3025
Artibonite,503,2431.0,3228.2903,2947.6649,0.5666,0.0915,0.6521,0.3757,0.0915,0.1113,0.0656,0.6441,0.5984,0.2565,0.0915,0.336
Centre,281,2161.0,2816.7189,2400.1728,0.5694,0.089,0.6299,0.4164,0.0534,0.0783,0.0356,0.669,0.516,0.2847,0.089,0.4199
Nippes,179,2097.0,2687.9553,2287.3751,0.6201,0.095,0.5922,0.419,0.0782,0.1117,0.067,0.6704,0.5587,0.2402,0.095,0.3296
Grand-Anse,201,1894.0,2696.5672,2782.8426,0.5871,0.1045,0.5821,0.3682,0.0647,0.1045,0.0796,0.6816,0.4378,0.2587,0.1045,0.3383
Nord-Ouest,136,1540.0,2315.0294,2351.4356,0.6176,0.0368,0.5588,0.3824,0.0441,0.0588,0.0956,0.75,0.4412,0.2574,0.0368,0.3897
