ID_Individu,Departement,Milieu,Genre,Tranche_Age,Age,Niveau_Education,Secteur_Activite,Revenu_Mensuel_HTG,Possede_Telephone,Possede_Smartphone,Acces_Internet,Acte_Naissance,CIN_Carte_Identite,NIF_Matricule_Fiscal,Titre_Propriete,Statut_Logement,Source_Energie,Implique_Agriculture,Niveau_Inclusion_Financiere,Compte_Bancaire,Credit_Formel,Montant_Credit_Formel_HTG,Credit_Informel,Epargne_Formelle,Membre_Tontine_Sol,Mobile_Money,Planification_Financiere,Controle_Depenses,Manque_Argent_Frequent,Raison_Principale_Manque_Argent,Besoin_Education_Financiere,Jamais_Eu_Credit_Formel,Poids_Sondage,Cluster,Profil,X_pca_PC1,X_pca_PC2,X_pca_PC3
HTI2018_0001,Grand-Anse,Rural,Homme,35-44,36,Secondaire,Artisanat/Production,3514,Non,Non,Non,Oui,Non,Non,Non,Habitation avec propriétaire,Aucune source,Non,Exclus financièrement,Non,Non,0,Non,Non,Non,Non,Pas souvent,Contrôle avec d'autres,Oui,Médicaments/Santé,Comment obtenir un prêt,Oui,0.8367,2,Artisans,-0.47995060815485363,-0.6921167608315795,-0.11507293559230063
HTI2018_0002,Aire Métropolitaine,Urbain,Femme,25-34,29,Primaire,Artisanat/Production,7021,Oui,Oui,Non,Oui,Non,Non,Non,Propriétaire,Connexion illégale,Non,Bancarisé,Oui,Non,0,Non,Oui,Oui,Non,Souvent,Ne sait pas,Oui,Pas assez de revenu,Comment budgétiser,Oui,1.2801,2,Artisans,1.5137177708415774,0.4907862181733285,-0.576769799247067
HTI2018_0003,Nord-Est,Urbain,Homme,45-60,55,Non scolarisé,Commerce informel,4151,Oui,Oui,Oui,Oui,Oui,Non,Non,Locataire,Connexion illégale,Non,Exclus financièrement,Non,Non,0,Non,Non,Oui,Non,Souvent,Contrôle total,Oui,Pas assez de revenu,Ne sait pas/Aucun besoin,Oui,0.9448,5,Commerçants informels,-0.22693260179794245,-0.976802518468422,2.174573714485787
HTI2018_0004,Aire Métropolitaine,Rural,Femme,25-34,26,Primaire,Agriculture/Élevage,2541,Non,Non,Non,Oui,Oui,Oui,Non,Locataire,EDH/Connexion collective,Oui,Autre formel (non-bancaire),Non,Non,0,Non,Non,Non,Non,Jamais,Aucun contrôle,Non,Sans objet,Comment investir,Oui,2.6173,0,Agriculteurs vulnérables,-0.027204464242511772,-0.8325253080171574,-1.4810642315564424
HTI2018_0005,Artibonite,Urbain,Femme,18-24,23,Secondaire,Services/Transport,4453,Oui,Non,Oui,Oui,Oui,Non,Non,Locataire,Connexion illégale,Non,Exclus financièrement,Non,Non,0,Non,Non,Oui,Non,Souvent,Contrôle avec d'autres,Non,Sans objet,Comment épargner,Oui,1.3438,1,Prestataires de services,0.7512818214364617,-0.6934921736480595,0.30048423361222965
HTI2018_0006,Nord,Urbain,Homme,25-34,25,Primaire,Sans activité/Ménage,874,Non,Non,Non,Oui,Oui,Non,Oui,Propriétaire,Connexion illégale,Non,Exclus financièrement,Non,Non,0,Non,Non,Oui,Non,Pas souvent,Contrôle total,Oui,Pas assez de revenu,Comment investir,Oui,2.7573,4,Ménages sans revenus,-1.8676361603820637,1.3763426943282009,0.6290721428256434
HTI2018_0007,Centre,Rural,Femme,25-34,30,Secondaire,Agriculture/Élevage,2066,Non,Non,Non,Oui,Non,Non,Non,Habitation avec propriétaire,Aucune source,Oui,Autre formel (non-bancaire),Non,Non,0,Non,Non,Oui,Non,Souvent,Ne sait pas,Oui,Pas assez de revenu,Comment investir,Oui,2.5363,0,Agriculteurs vulnérables,-0.48862983434825974,-0.6408960189220685,-0.5493857181795565
HTI2018_0008,Ouest (reste),Urbain,Homme,25-34,25,Secondaire,Agriculture/Élevage,1727,Oui,Non,Non,Oui,Oui,Oui,Non,Logement gratuit,Panneau solaire,Oui,Exclus financièrement,Non,Non,0,Non,Oui,Non,Non,Jamais,Aucun contrôle,Oui,Frais de scolarité,Comment investir,Oui,3.298,0,Agriculteurs vulnérables,-0.058534357444958426,0.05954442267350396,-1.5919618830075313
HTI2018_0009,Centre,Urbain,Femme,15-17,17,Primaire,Commerce informel,3123,Oui,Non,Non,Oui,Oui,Non,Oui,Propriétaire,Connexion illégale,Non,Autre formel (non-bancaire),Non,Non,0,Non,Non,Oui,Non,Souvent,Ne sait pas,Oui,Pas assez de revenu,Comment investir,Oui,1.6976,5,Commerçants informels,0.7170824203162434,-0.02844361365692023,1.9665049222929414
HTI2018_0010,Aire Métropolitaine,Urbain,Femme,35-44,43,Secondaire,Emploi salarié formel,20559,Oui,Oui,Oui,Oui,Non,Oui,Non,Propriétaire,Connexion illégale,Oui,Bancarisé,Oui,Non,0,Non,Oui,Non,Oui,Souvent,Contrôle total,Non,Sans objet,Ne sait pas/Aucun besoin,Oui,2.9405,3,Salariés formels,4.0103311930334575,1.3272830042458201,-2.280175802035816
HTI2018_0011,Ouest (reste),Rural,Homme,18-24,24,Primaire,Agriculture/Élevage,3310,Oui,Non,Non,Oui,Non,Non,Non,Habitation avec propriétaire,Aucune source,Oui,Autre formel (non-bancaire),Non,Non,0,Non,Non,Non,Non,Pas souvent,Contrôle total,Oui,Dépenses imprévues,Comment épargner,Oui,2.4989,0,Agriculteurs vulnérables,-0.6618524899887837,-0.9946679099271446,-1.3129843717609542
HTI2018_0012,Nord-Ouest,Rural,Femme,35-44,37,Primaire,Commerce informel,3266,Oui,Oui,Oui,Oui,Oui,Oui,Non,Propriétaire,Connexion individuelle,Non,Exclus financièrement,Non,Non,0,Non,Non,Oui,Non,Jamais,Contrôle total,Non,Sans objet,Comment budgétiser,Oui,2.5723,5,Commerçants informels,0.27617705058681496,-1.0306512509858112,2.025476467996298
HTI2018_0013,Ouest (reste),Urbain,Homme,60+,78,Non scolarisé,Commerce informel,1239,Oui,Non,Oui,Oui,Non,Non,Non,Propriétaire,Connexion illégale,Non,Exclus financièrement,Non,Non,0,Non,Oui,Oui,Non,Jamais,Aucun contrôle,Oui,Pas assez de revenu,Comment budgétiser,Oui,2.9623,5,Commerçants informels,-0.09047396836786058,-0.4861932644357954,1.4913468294275243
HTI2018_0014,Aire Métropolitaine,Urbain,Femme,18-24,22,Supérieur/Professionnel,Services/Transport,6233,Non,Non,Non,Oui,Oui,Oui,Oui,Habitation avec propriétaire,EDH/Connexion collective,Non,Autre formel (non-bancaire),Non,Non,0,Non,Non,Non,Non,Toujours,Contrôle avec d'autres,Non,Sans objet,Comment épargner,Oui,3.4239,1,Prestataires de services,1.943115787845367,0.35911004879173575,-0.4086466481814088
HTI2018_0015,Aire Métropolitaine,Urbain,Femme,35-44,43,Secondaire,Services/Transport,6721,Non,Non,Non,Oui,Oui,Non,Non,Propriétaire,Connexion individuelle,Non,Autre formel (non-bancaire),Non,Non,0,Non,Non,Non,Non,Jamais,Contrôle total,Non,Sans objet,Comment investir,Oui,1.6464,1,Prestataires de services,1.4218552759058085,-0.2967892002337004,-0.614017951546187
HTI2018_0016,Nippes,Urbain,Femme,15-17,15,Secondaire,Agriculture/Élevage,1345,Oui,Non,Non,Oui,Non,Non,Non,Copropriétaire,EDH/Connexion collective,Oui,Autre formel (non-bancaire),Non,Non,0,Non,Non,Non,Non,Jamais,Aucun contrôle,Oui,Pas assez de revenu,Comment investir,Oui,1.1497,0,Agriculteurs vulnérables,-0.7010826830606249,-0.5877609080872703,-1.26695505893247
HTI2018_0017,Sud,Urbain,Femme,35-44,43,Secondaire,Agriculture/Élevage,1743,Oui,Non,Non,Oui,Oui,Oui,Non,Propriétaire,Connexion individuelle,Oui,Exclus financièrement,Non,Non,0,Non,Non,Oui,Non,Jamais,Contrôle total,Oui,Pas assez de revenu,Comment budgétiser,Oui,0.9558,0,Agriculteurs vulnérables,-1.093631359445985,-0.9698549845671914,-0.3470737689160434
HTI2018_0018,Aire Métropolitaine,Urbain,Homme,18-24,24,Secondaire,Sans activité/Ménage,842,Non,Non,Non,Oui,Oui,Non,Non,Copropriétaire,Connexion illégale,Non,Autre formel (non-bancaire),Non,Non,0,Non,Non,Oui,Non,Toujours,Contrôle total,Oui,Pas assez de revenu,Comment investir,Oui,1.3473,4,Ménages sans revenus,-0.7321211219824992,2.462377723588152,0.5667683941305737
HTI2018_0019,Sud,Rural,Homme,35-44,35,Non scolarisé,Agriculture/Élevage,1540,Oui,Non,Non,Oui,Oui,Oui,Non,Locataire,Connexion illégale,Oui,Autre formel (non-bancaire),Non,Non,0,Non,Non,Non,Non,Jamais,Ne sait pas,Oui,Pas assez de revenu,Ne sait pas/Aucun besoin,Oui,0.8817,0,Agriculteurs vulnérables,-0.8756540499262806,-0.8183602288203831,-1.4365707512465244
HTI2018_0020,Ouest (reste),Urbain,Femme,25-34,34,Primaire,Commerce informel,4054,Oui,Non,Non,Oui,Oui,Non,Non,Propriétaire,EDH/Connexion collective,Non,Exclus financièrement,Non,Non,0,Oui,Non,Non,Non,Souvent,Contrôle avec d'autres,Oui,Pas assez de revenu,Comment épargner,Oui,2.0833,5,Commerçants informels,-0.013725542494338536,-0.6311575505421496,1.8125897094702894
HTI2018_0021,Artibonite,Urbain,Femme,45-60,51,Non scolarisé,Emploi salarié formel,18092,Non,Non,Non,Oui,Oui,Non,Non,Locataire,Connexion individuelle,Non,Bancarisé,Oui,Non,0,Non,Oui,Oui,Non,Pas souvent,Contrôle avec d'autres,Non,Sans objet,Comment budgétiser,Oui,2.2419,3,Salariés formels,3.33912953357996,0.5715550037893061,-1.8953553843948476
